eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
4720,100,5.440685238951094E-12,1.572639161808916E-21,10,10
4740,100,5.440776131772116E-12,1.5726381636009504E-21,10,10
4760,100,5.4406873206647565E-12,1.5726391389004345E-21,10,10
4780,100,5.4451190974014796E-12,1.5725923384830441E-21,10,10
4800,100,5.44499937750125E-12,1.5725936539726825E-21,10,10
4820,100,5.821428600944254E-12,1.574696329000143E-21,10,10
4840,100,5.8214209971224335E-12,1.5746964184168074E-21,10,10
4860,100,5.821419627075972E-12,1.574696434528976E-21,10,10
4880,100,5.81078667703514E-12,1.5748097234670433E-21,10,10
4900,100,2.7229213467605796E-8,3.668106450859183E-14,10,10
4920,100,2.7229213519102388E-8,3.6681064505759116E-14,10,10
4940,100,2.7229185550661073E-8,3.6681066044181826E-14,10,10
4960,100,1.362655462698231E-8,1.8527442421265933E-14,10,10
4980,100,1.3617484381649904E-8,1.8527683717410177E-14,10,10
5000,100,1.3756361813214874E-8,1.852566600791054E-14,10,10
5020,100,1.3756184334395437E-8,1.85256709369452E-14,10,10
5040,100,1.3756184203176436E-8,1.8525670940591883E-14,10,10
5060,100,1.375567848682575E-8,1.8525684969399617E-14,10,10
5080,100,1.4628532142185137E-8,1.860128672360941E-14,10,10
5100,100,1.4624743773065234E-8,1.8601397211926765E-14,10,10
5120,100,1.4624743772969853E-8,1.8601397211929557E-14,10,10
5140,100,1.4624754525013356E-8,1.8601396894264844E-14,10,10
5160,100,1.4624756622171793E-8,1.8601396832304708E-14,10,10
5180,100,1.462484708267367E-8,1.8601394160131556E-14,10,10
5200,100,1.4624845852631473E-8,1.860139419647316E-14,10,10
5220,100,1.4630114559019291E-8,1.8601241307715525E-14,10,10
5240,100,1.4629005663853231E-8,1.8601273956518737E-14,10,10
5260,100,1.3621918497535038E-8,1.8527565089835926E-14,10,10
5280,100,1.3621914990315557E-8,1.8527565186350066E-14,10,10
5300,100,1.3634360865186098E-8,1.8527238178650054E-14,10,10
5320,100,1.363436086518634E-8,1.8527238178650044E-14,10,10
